,PC1,PC2,PC3,treatment
0,4.116948450926759,0.22242781421025276,-0.05755402833775081,C
1,4.133149247125226,-0.10815289926760263,0.5722214655454003,C
2,4.404637394639304,-0.11587643415904159,0.22563911489104344,C
3,-0.3154157689239797,0.13925457491893628,-0.9230094223416139,T1
4,-1.1743527814040817,-0.0838334276973271,-0.940800192967461,T1
5,-1.7665080786824208,0.5845482688420418,-0.9131937542323811,T1
6,-2.7039508648046255,2.125723645777973,1.7496183364780291,T2
7,-1.0462901675056988,1.5516942832386886,0.2239764212948554,T2
8,-0.7193939154604868,1.0782691418547787,-1.1409975473331038,T2
9,-1.2237164091779904,-1.352181611726504,0.44970632836329144,T3
10,-2.008441431787646,-2.0990875927316464,0.501801640564541,T3
11,-1.6966656749443614,-1.9427857632605505,0.2525916380751503,T3
