,PC1,PC2,PC3,treatment
0,4.4419805545165305,0.3975253623579801,0.41144601048067253,C
1,4.4880931672860385,-0.4299870938981851,-0.19418022594688378,C
2,4.131824547062761,-0.2952100822481287,0.032355081087639403,C
3,-1.9722243180438883,1.8281497171260344,-0.10154025058338056,T1
4,-1.6440367812296175,1.3379700469698341,0.17262967690335612,T1
5,-1.3402269299516476,0.8969424271781696,0.3197669176834286,T1
6,0.3265049122296951,-0.017932104721736356,-0.27208351342980797,T2
7,0.18826105023626308,-0.18603831187400835,-0.6421441982379149,T2
8,-0.042477407159351756,-0.5417824822866663,-0.1561026553208352,T2
9,-2.58338839343038,-1.22617373011769,1.0916196649300902,T3
10,-3.6548544074396085,-0.8481951243391452,-0.6821418665393727,T3
11,-2.339455994076797,-0.9152686241464576,0.02037535897300835,T3
