peak,retention_time,wavelength,area,concentration
11,10.813,280nm,15651246,0.08
5,6.087,280nm,665724,0.1
13,14.833,280nm,1333490,0.1
9,9.287,280nm,1678892,0.1
3,3.68,280nm,3382059,0.1
2,2.833,280nm,3472840,0.1
7,7.407,280nm,3548362,0.1
6,6.507,280nm,4252746,0.1
12,10.947,280nm,6578020,0.1
8,8.193,280nm,7132349,0.1
14,16.027,280nm,9832340,0.1
10,9.973,280nm,10083658,0.1
11,10.813,280nm,19594598,0.1
13,14.82,320nm,70504,0.005
2,2.88,320nm,98448,0.005
8,8.18,320nm,103213,0.005
9,9.273,320nm,286517,0.005
6,6.487,320nm,778137,0.005
10,9.96,320nm,811223,0.005
5,6.067,320nm,1100272,0.005
11,10.8,320nm,2175711,0.005
8,8.193,320nm,15587,0.01
5,6.08,320nm,47947,0.01
2,2.84,320nm,111872,0.01
13,14.827,320nm,143717,0.01
9,9.287,320nm,228636,0.01
6,6.507,320nm,777083,0.01
10,9.973,320nm,1365054,0.01
11,10.813,320nm,4016717,0.01
14,16.013,320nm,22820,0.02
8,8.18,320nm,30937,0.02
2,2.833,320nm,106625,0.02
13,14.82,320nm,287834,0.02
9,9.273,320nm,449690,0.02
5,6.073,320nm,690647,0.02
6,6.5,320nm,1769136,0.02
10,9.953,320nm,2680253,0.02
11,10.8,320nm,7886366,0.02
14,16.02,320nm,44702,0.04
8,8.193,320nm,61525,0.04
2,2.833,320nm,102227,0.04
13,14.833,320nm,594921,0.04
9,9.287,320nm,910831,0.04
5,6.093,320nm,1414329,0.04
6,6.507,320nm,3593677,0.04
10,9.973,320nm,5417220,0.04
11,10.82,320nm,15947670,0.04
8,8.187,320nm,92397,0.06
2,2.833,320nm,105398,0.06
13,14.82,320nm,906536,0.06
9,9.28,320nm,1377224,0.06
5,6.087,320nm,2351348,0.06
6,6.507,320nm,5480771,0.06
10,9.967,320nm,8184417,0.06
11,10.813,320nm,24101687,0.06
2,2.833,320nm,106793,0.08
8,8.187,320nm,122182,0.08
13,14.82,320nm,1223079,0.08
9,9.28,320nm,1840584,0.08
5,6.087,320nm,2961984,0.08
6,6.507,320nm,7223901,0.08
10,9.973,320nm,10930670,0.08
11,10.813,320nm,32180381,0.08
2,2.833,320nm,121644,0.1
8,8.193,320nm,150669,0.1
13,14.833,320nm,1524341,0.1
9,9.287,320nm,2295781,0.1
5,6.087,320nm,3692343,0.1
6,6.507,320nm,9011011,0.1
10,9.973,320nm,13626002,0.1
11,10.813,320nm,40073160,0.1
6,6.487,375nm,20150,0.005
11,10.8,375nm,57357,0.005
1,2.7,375nm,67472,0.005
2,2.88,375nm,111113,0.005
9,9.273,375nm,135510,0.005
13,14.82,375nm,180567,0.005
11,10.813,375nm,55948,0.01
9,9.287,375nm,260444,0.01
13,14.827,375nm,352123,0.01
11,10.8,375nm,104918,0.02
9,9.273,375nm,507993,0.02
13,14.82,375nm,701265,0.02
11,10.82,375nm,215936,0.04
9,9.287,375nm,1034374,0.04
13,14.833,375nm,1461821,0.04
11,10.813,375nm,321404,0.06
9,9.28,375nm,1564402,0.06
13,14.82,375nm,2215976,0.06
11,10.813,375nm,416134,0.08
9,9.28,375nm,2090266,0.08
13,14.82,375nm,2997952,0.08
11,10.813,375nm,513357,0.1
9,9.287,375nm,2605628,0.1
13,14.833,375nm,3758921,0.1
